Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
17,2025-12-21,Alanyaspor,Fatih Karagümrük,2 - 0,0.688,0.2976,0,0,0,0,6,0,44,0,11,0,2,0
17,2025-12-20,Beşiktaş,Rizespor,1 - 0,1.7919,0.8435,0,0,0,0,5,0,61,0,16,0,4,0
17,2025-12-20,Eyüpspor,Fenerbahçe,0 - 3,0.7281,1.9803000000000002,0,0,0,0,3,0,43,0,8,0,4,0
17,2025-12-21,Galatasaray,Kasımpaşa,3 - 0,2.9880000000000004,0.0188,0,0,0,0,7,0,71,0,27,0,10,0
17,2025-12-22,Gençlerbirliği,Trabzonspor,4 - 3,2.0120999999999998,2.4446000000000003,0,0,0,0,9,0,37,0,18,0,6,0
17,2025-12-21,Göztepe,Samsunspor,2 - 0,1.5828,0.4224,0,0,0,0,2,0,36,0,10,0,4,0
17,2025-12-19,Kocaelispor,Antalyaspor,2 - 1,1.0614999999999999,0.27940000000000004,0,0,0,0,3,0,46,0,7,0,4,0
17,2025-12-20,Konyaspor,Kayserispor,1 - 1,1.1767,1.813,0,0,0,0,3,0,57,0,16,0,3,0
17,2025-12-22,İstanbul Başakşehir,Gaziantep F.K.,5 - 1,1.9694999999999998,1.3757,0,0,0,0,7,0,58,0,17,0,2,0
18,2026-01-18,Alanyaspor,Fenerbahçe,2 - 3,0.8134,2.3943999999999996,0,0,0,0,3,0,45,0,9,0,6,0
18,2026-01-19,Beşiktaş,Kayserispor,1 - 0,1.8760999999999999,0.6726000000000001,0,0,0,0,9,0,69,0,31,0,9,0
18,2026-01-17,Galatasaray,Gaziantep F.K.,1 - 1,1.6772999999999998,0.7263,0,0,0,0,3,0,68,0,17,0,10,0
18,2026-01-18,Gençlerbirliği,Samsunspor,1 - 1,0.6434,1.1257000000000001,0,0,0,0,3,0,52,0,7,0,4,0
18,2026-01-19,Göztepe,Rizespor,3 - 1,1.2980999999999998,1.5378,0,0,0,0,7,0,33,0,13,0,3,0
18,2026-01-18,Kasımpaşa,Antalyaspor,0 - 0,1.3434,0.8200999999999999,0,0,0,0,4,0,59,0,11,0,10,0
18,2026-01-18,Kocaelispor,Trabzonspor,1 - 2,1.9322,0.667,0,0,0,0,5,0,44,0,17,0,4,0
18,2026-01-19,Konyaspor,Eyüpspor,1 - 1,3.0202,1.3114,0,0,0,0,4,0,70,0,18,0,5,0
18,2026-01-17,İstanbul Başakşehir,Fatih Karagümrük,2 - 1,2.5353,0.9568,0,0,0,0,6,0,62,0,12,0,5,0
19,2026-01-25,Antalyaspor,Gençlerbirliği,2 - 1,1.1606,0.8841,0,0,0,0,3,0,48,0,11,0,8,0
19,2026-01-26,Eyüpspor,Beşiktaş,2 - 2,2.1950000000000003,1.4835,0,0,1,0,4,0,39,0,15,0,3,0
19,2026-01-24,Fatih Karagümrük,Galatasaray,1 - 3,0.5957,1.1368999999999998,0,0,0,0,3,0,36,0,10,0,2,0
