Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
14,2025-11-30,Olympique Lyonnais,Nantes,3 - 0,2.854,0.8654999999999999,0,0,0,0,8,0,72,0,20,0,7,0,42.0,9.0,0.0,0.0,0.0,12.8
14,2025-11-29,Olympique Marseille,Toulouse,2 - 2,1.3476,0.5960000000000001,0,0,0,0,5,0,77,0,20,0,9,0,28.0,18.0,0.0,0.0,0.0,3.8
14,2025-11-29,Paris,Auxerre,1 - 1,1.6157,1.4243,0,0,1,0,2,0,55,0,11,0,4,0,0.4,12.2,10.0,0.9,3.0,3.5
14,2025-11-30,Strasbourg,Brest,1 - 2,1.0069,1.2199,0,0,0,0,6,0,57,0,14,0,5,0,15.0,0.25,39.0,0.0,17.0,0.0
15,2025-12-07,Auxerre,Metz,3 - 1,1.9392,0.596,0,0,1,0,7,0,39,0,14,0,5,0,0.9,3.0,3.5,0.05,1.3,0.0
15,2025-12-05,Brest,Monaco,1 - 0,0.7652,0.8189000000000001,1,0,0,0,4,0,40,0,12,0,2,0,0.0,4.5,0.0,45.0,35.0,25.0
15,2025-12-05,LOSC Lille,Olympique Marseille,1 - 0,0.4582,0.5996,0,0,0,0,2,0,42,0,5,0,2,0,0.0,21.6,50.0,28.0,18.0,18.0
15,2025-12-07,Le Havre,Paris,0 - 0,1.8585,1.2412,0,0,1,0,2,0,44,0,13,0,7,0,0.0,4.0,3.0,0.4,12.2,5.0
15,2025-12-07,Lorient,Olympique Lyonnais,1 - 0,1.7952,0.6653,0,0,0,0,6,0,40,0,14,0,1,0,0.5,4.5,2.25,42.0,6.0,20.0
15,2025-12-06,Nantes,Lens,1 - 2,1.6731,2.7952000000000004,0,0,1,0,4,0,34,0,10,0,1,0,0.0,0.0,12.8,0.0,3.0,4.5
15,2025-12-07,Nice,Angers SCO,0 - 1,1.0908,0.7232000000000001,1,0,0,0,3,0,50,0,13,0,4,0,0.0,19.0,0.0,0.0,3.0,0.0
15,2025-12-06,Paris Saint Germain,Rennes,5 - 0,2.4815,0.2031,0,0,0,0,9,0,66,0,20,0,8,0,90.0,205.0,0.0,0.0,0.0,0.0
15,2025-12-06,Toulouse,Strasbourg,1 - 0,0.5255,0.1088,0,0,0,0,3,0,28,0,6,0,1,0,0.0,0.0,8.8,43.0,0.25,39.0
16,2025-12-12,Angers SCO,Nantes,4 - 1,2.678,0.376,0,0,1,0,9,0,54,0,20,0,6,0,0.0,0.0,0.0,8.0,0.0,12.0
16,2025-12-14,Auxerre,LOSC Lille,3 - 4,2.7305,0.7964,2,0,1,0,8,0,45,0,18,0,10,0,0.0,0.0,3.5,48.0,21.6,50.0
16,2025-12-14,Lens,Nice,2 - 0,1.9161,1.0957,0,0,0,0,5,0,46,0,15,0,2,0,0.0,3.0,0.0,0.0,19.5,7.0
16,2025-12-13,Metz,Paris Saint Germain,2 - 3,0.6871,1.555,0,0,0,0,5,0,41,0,9,0,4,0,0.05,1.3,0.0,100.0,110.0,0.0
