Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
9,2025-10-26,Sporting Braga,Casa Pia,4 - 0,2.0363,0.1779,0,0,1,0,8,0,61,0,15,0,4,0,0.0,0.0,0.0,0.3,0.0,0.0
9,2025-10-26,Tondela,Sporting CP,0 - 3,0.6334,3.068,0,0,0,0,2,0,34,0,9,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-11-02,AVS,Tondela,2 - 2,0.9316,1.837,0,0,0,0,5,0,55,0,15,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-11-02,Arouca,Moreirense,0 - 2,0.7553,1.0568,0,0,0,0,2,0,59,0,11,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-11-01,Casa Pia,Estrela Amadora,3 - 5,1.1959,2.297,0,0,0,0,4,0,56,0,10,0,5,0,0.3,0.0,0.0,0.0,0.0,0.0
10,2025-11-03,Gil Vicente,Santa Clara,1 - 0,0.5781999999999999,0.7955000000000001,0,0,0,0,3,0,37,0,9,0,2,0,0.0,0.0,0.0,0.0,4.5,0.0
10,2025-11-01,Nacional,Famalicão,0 - 1,0.3695,1.765,1,0,0,0,3,0,44,0,8,0,3,0,0.0,0.0,0.4,4.0,0.0,0.0
10,2025-11-02,Porto,Sporting Braga,2 - 1,0.7535000000000001,1.061,0,0,0,0,4,0,31,0,9,0,2,0,0.0,13.0,0.0,0.0,0.0,0.0
10,2025-11-01,Rio Ave,Estoril,0 - 4,0.2927,3.3897,1,0,0,0,0,0,41,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
10,2025-10-31,Sporting CP,Alverca,2 - 0,2.8514,0.3119,0,0,0,0,8,0,67,0,27,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2025-11-01,Vitória Guimarães,Benfica,0 - 3,0.4745999999999999,2.5022,1,0,0,0,3,0,34,0,10,0,3,0,0.0,0.0,0.0,5.0,0.0,0.0
11,2025-11-09,AVS,Gil Vicente,1 - 1,1.7680000000000002,2.257,0,0,1,0,8,0,45,0,16,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-11-08,Alverca,Rio Ave,1 - 1,1.7701,0.5968,0,0,0,0,5,0,57,0,15,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-11-09,Benfica,Casa Pia,2 - 2,2.1741,1.2719,0,0,1,0,6,0,66,0,19,0,6,0,5.0,0.0,0.0,0.3,0.0,0.0
11,2025-11-07,Estoril,Arouca,4 - 3,1.9777,1.1544,0,0,0,0,7,0,46,0,19,0,10,0,0.0,0.0,1.0,0.0,0.0,0.0
11,2025-11-09,Estrela Amadora,Nacional,1 - 1,2.1656000000000004,1.6503,0,0,1,0,4,0,62,0,14,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-11-09,Famalicão,Porto,0 - 1,0.3191,1.4843000000000002,0,0,0,0,0,0,46,0,8,0,2,0,4.0,0.0,0.0,0.0,13.0,0.0
11,2025-11-08,Santa Clara,Sporting CP,1 - 2,0.5335000000000001,1.598,2,0,0,0,2,0,26,0,5,0,2,0,0.0,4.5,0.0,0.0,0.0,0.0
11,2025-11-09,Sporting Braga,Moreirense,2 - 1,2.5561,1.081,0,0,1,0,3,0,53,0,11,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
11,2025-11-08,Tondela,Vitória Guimarães,0 - 1,1.749,1.5121000000000002,0,0,0,0,4,0,50,0,15,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-12-01,Arouca,Sporting Braga,0 - 4,0.1086999999999999,2.651,1,0,0,0,1,0,16,0,3,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
